A	B	Bell_Schedule_ID	C	Cycle_Day_ID	D	Date	E	F	ID	InSession	MembershipValue	Note	ScheduleID	SchoolID	Type	Week_Num
0	0	402	0	401	0	3/4/19	0	0	5684	1	1		A	123711		0
0	0	402	0	401	0	3/5/19	0	0	5685	1	1		A	123711		0
0	0	402	0	401	0	3/6/19	0	0	5686	1	1		A	123711		0
0	0	402	0	401	0	3/7/19	0	0	5687	1	1		A	123711		0
0	0	402	0	401	0	3/8/19	0	0	5688	1	1		A	123711		0
0	0	0	0	0	0	3/9/19	0	0	5689	0	0		A	123711		0
0	0	0	0	0	0	3/10/19	0	0	5690	0	0		A	123711		0
0	0	401	0	401	0	3/11/19	0	0	5691	1	1		A	123711		0
0	0	401	0	401	0	3/12/19	0	0	5692	1	1		A	123711		0
0	0	402	0	401	0	3/13/19	0	0	5693	1	1		A	123711		0
0	0	401	0	401	0	3/14/19	0	0	5694	1	1		A	123711		0
0	0	401	0	401	0	3/15/19	0	0	5695	1	1		A	123711		0
0	0	0	0	0	0	3/16/19	0	0	5696	0	0		A	123711		0
0	0	0	0	0	0	3/17/19	0	0	5697	0	0		A	123711		0
0	0	401	0	401	0	3/18/19	0	0	5698	1	1		A	123711		0
0	0	401	0	401	0	3/19/19	0	0	5699	1	1		A	123711		0
0	0	402	0	401	0	3/20/19	0	0	5700	1	1		A	123711		0
0	0	401	0	401	0	3/21/19	0	0	5701	1	1		A	123711		0
0	0	401	0	401	0	3/22/19	0	0	5702	1	1		A	123711		0
0	0	0	0	0	0	3/23/19	0	0	5703	0	0		A	123711		0
0	0	0	0	0	0	3/24/19	0	0	5704	0	0		A	123711		0
0	0	0	0	0	0	3/25/19	0	0	5705	0	0		A	123711	H	0
0	0	0	0	0	0	3/26/19	0	0	5706	0	0		A	123711	H	0
0	0	0	0	0	0	3/27/19	0	0	5707	0	0		A	123711	H	0
0	0	0	0	0	0	3/28/19	0	0	5708	0	0		A	123711	H	0
0	0	0	0	0	0	3/29/19	0	0	5709	0	0		A	123711	H	0
0	0	0	0	0	0	3/30/19	0	0	5710	0	0		A	123711		0
0	0	0	0	0	0	3/31/19	0	0	5711	0	0		A	123711		0
0	0	0	0	0	0	4/1/19	0	0	5712	0	0		A	123711	H	0
0	0	401	0	401	0	4/2/19	0	0	5713	1	1		A	123711		0
0	0	402	0	401	0	4/3/19	0	0	5714	1	1		A	123711		0
0	0	401	0	401	0	4/4/19	0	0	5715	1	1		A	123711		0
0	0	401	0	401	0	4/5/19	0	0	5716	1	1		A	123711		0
0	0	0	0	0	0	4/6/19	0	0	5717	0	0		A	123711		0
0	0	0	0	0	0	4/7/19	0	0	5718	0	0		A	123711		0
0	0	401	0	401	0	4/8/19	0	0	5719	1	1		A	123711		0
0	0	401	0	401	0	4/9/19	0	0	5720	1	1		A	123711		0
0	0	402	0	401	0	4/10/19	0	0	5721	1	1		A	123711		0
0	0	401	0	401	0	4/11/19	0	0	5722	1	1		A	123711		0
0	0	401	0	401	0	4/12/19	0	0	5723	1	1		A	123711		0
0	0	0	0	0	0	4/13/19	0	0	5724	0	0		A	123711		0
0	0	0	0	0	0	4/14/19	0	0	5725	0	0		A	123711		0
0	0	401	0	401	0	4/15/19	0	0	5726	1	1		A	123711		0
0	0	401	0	401	0	4/16/19	0	0	5727	1	1		A	123711		0
0	0	402	0	401	0	4/17/19	0	0	5728	1	1		A	123711		0
0	0	401	0	401	0	4/18/19	0	0	5729	1	1		A	123711		0
0	0	401	0	401	0	4/19/19	0	0	5730	1	1		A	123711		0
0	0	0	0	0	0	4/20/19	0	0	5731	0	0		A	123711		0
0	0	0	0	0	0	4/21/19	0	0	5732	0	0		A	123711		0
0	0	401	0	401	0	4/22/19	0	0	5733	1	1		A	123711		0
0	0	401	0	401	0	4/23/19	0	0	5734	1	1		A	123711		0
0	0	402	0	401	0	4/24/19	0	0	5735	1	1		A	123711		0
0	0	401	0	401	0	4/25/19	0	0	5736	1	1		A	123711		0
0	0	401	0	401	0	4/26/19	0	0	5737	1	1		A	123711		0
0	0	0	0	0	0	4/27/19	0	0	5738	0	0		A	123711		0
0	0	0	0	0	0	4/28/19	0	0	5739	0	0		A	123711		0
0	0	401	0	401	0	4/29/19	0	0	5740	1	1		A	123711		0
0	0	401	0	401	0	4/30/19	0	0	5741	1	1		A	123711		0
0	0	402	0	401	0	5/1/19	0	0	5742	1	1		A	123711		0
0	0	401	0	401	0	5/2/19	0	0	5743	1	1		A	123711		0
0	0	401	0	401	0	5/3/19	0	0	5744	1	1		A	123711		0
0	0	0	0	0	0	5/4/19	0	0	5745	0	0		A	123711		0
0	0	0	0	0	0	5/5/19	0	0	5746	0	0		A	123711		0
0	0	401	0	401	0	5/6/19	0	0	5747	1	1		A	123711		0
0	0	401	0	401	0	5/7/19	0	0	5748	1	1		A	123711		0
0	0	402	0	401	0	5/8/19	0	0	5749	1	1		A	123711		0
0	0	401	0	401	0	5/9/19	0	0	5750	1	1		A	123711		0
0	0	401	0	401	0	5/10/19	0	0	5751	1	1		A	123711		0
0	0	0	0	0	0	5/11/19	0	0	5752	0	0		A	123711		0
0	0	0	0	0	0	5/12/19	0	0	5753	0	0		A	123711		0
0	0	401	0	401	0	5/13/19	0	0	5754	1	1		A	123711		0
0	0	401	0	401	0	5/14/19	0	0	5755	1	1		A	123711		0
0	0	402	0	401	0	5/15/19	0	0	5756	1	1		A	123711		0
0	0	401	0	401	0	5/16/19	0	0	5757	1	1		A	123711		0
0	0	401	0	401	0	5/17/19	0	0	5758	1	1		A	123711		0
0	0	0	0	0	0	5/18/19	0	0	5759	0	0		A	123711		0
0	0	0	0	0	0	5/19/19	0	0	5760	0	0		A	123711		0
0	0	401	0	401	0	5/20/19	0	0	5761	1	1		A	123711		0
0	0	401	0	401	0	5/21/19	0	0	5762	1	1		A	123711		0
0	0	402	0	401	0	5/22/19	0	0	5763	1	1		A	123711		0
0	0	401	0	401	0	5/23/19	0	0	5764	1	1		A	123711		0
0	0	401	0	401	0	5/24/19	0	0	5765	1	1		A	123711		0
0	0	0	0	0	0	5/25/19	0	0	5766	0	0		A	123711		0
0	0	0	0	0	0	5/26/19	0	0	5767	0	0		A	123711		0
0	0	0	0	0	0	5/27/19	0	0	5768	0	0		A	123711	H	0
0	0	402	0	401	0	5/28/19	0	0	5769	1	1		A	123711		0
0	0	402	0	401	0	5/29/19	0	0	5770	1	1		A	123711		0
0	0	402	0	401	0	5/30/19	0	0	5771	1	1		A	123711		0
